Fondsposition per,"02.Feb.2026"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"BMO","BANK OF MONTREAL","Financials","Aktien","10.146.792,43","0,12","10.146.792,43","73.372,00","138,29","Kanada","Toronto Stock Exchange","CAD"
"ISP","INTESA SANPAOLO","Financials","Aktien","10.115.444,99","0,12","10.115.444,99","1.434.726,00","7,05","Italien","Borsa Italiana","EUR"
"SO","SOUTHERN","Versorger","Aktien","10.092.992,74","0,12","10.092.992,74","114.446,00","88,19","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BP.","BP PLC","Energie","Aktien","10.066.174,50","0,11","10.066.174,50","1.599.364,00","6,29","Vereinigtes Königreich","London Stock Exchange","GBP"
"D05","DBS GROUP HOLDINGS LTD","Financials","Aktien","10.030.383,35","0,11","10.030.383,35","216.936,00","46,24","Singapur","Singapore Exchange","SGD"
"MELI","MERCADOLIBRE INC","Zyklische Konsumgüter ","Aktien","9.995.309,10","0,11","9.995.309,10","4.655,00","2.147,22","Vereinigte Staaten","NASDAQ","USD"
"TT","TRANE TECHNOLOGIES PLC","Industrie","Aktien","9.946.680,91","0,11","9.946.680,91","23.399,00","425,09","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CVS","CVS HEALTH CORP","Gesundheitsversorgung","Aktien","9.908.000,82","0,11","9.908.000,82","131.371,00","75,42","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AEM","AGNICO EAGLE MINES LTD","Materialien","Aktien","9.890.063,80","0,11","9.890.063,80","51.891,00","190,59","Kanada","Toronto Stock Exchange","CAD"
"BARC","BARCLAYS PLC","Financials","Aktien","9.862.781,11","0,11","9.862.781,11","1.448.786,00","6,81","Vereinigtes Königreich","London Stock Exchange","GBP"
"BNS","BANK OF NOVA SCOTIA","Financials","Aktien","9.779.364,30","0,11","9.779.364,30","130.252,00","75,08","Kanada","Toronto Stock Exchange","CAD"
"DUK","DUKE ENERGY CORP","Versorger","Aktien","9.686.815,32","0,11","9.686.815,32","81.068,00","119,49","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WDC","WESTERN DIGITAL CORP","IT","Aktien","9.660.182,04","0,11","9.660.182,04","35.748,00","270,23","Vereinigte Staaten","NASDAQ","USD"
"LLOY","LLOYDS BANKING GROUP PLC","Financials","Aktien","9.634.720,17","0,11","9.634.720,17","6.343.703,00","1,52","Vereinigtes Königreich","London Stock Exchange","GBP"
"BN","BROOKFIELD CORP CLASS A","Financials","Aktien","9.612.077,30","0,11","9.612.077,30","206.542,00","46,54","Kanada","Toronto Stock Exchange","CAD"
"MRSH","MARSH INC","Financials","Aktien","9.609.409,50","0,11","9.609.409,50","51.046,00","188,25","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NOC","NORTHROP GRUMMAN CORP","Industrie","Aktien","9.606.720,48","0,11","9.606.720,48","14.024,00","685,02","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EL","ESSILORLUXOTTICA SA","Gesundheitsversorgung","Aktien","9.555.351,10","0,11","9.555.351,10","31.567,00","302,70","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"RHM","RHEINMETALL AG","Industrie","Aktien","9.503.018,32","0,11","9.503.018,32","4.661,00","2.038,84","Deutschland","Xetra","EUR"
"NAB","NATIONAL AUSTRALIA BANK LTD","Financials","Aktien","9.381.963,55","0,11","9.381.963,55","314.522,00","29,83","Australien","Asx - All Markets","AUD"
"7011","MITSUBISHI HEAVY INDUSTRIES LTD","Industrie","Aktien","9.373.178,10","0,11","9.373.178,10","323.900,00","28,94","Japan","Tokyo Stock Exchange","JPY"
"CM","CANADIAN IMPERIAL BANK OF COMMERCE","Financials","Aktien","9.279.735,67","0,11","9.279.735,67","98.016,00","94,68","Kanada","Toronto Stock Exchange","CAD"
"WBC","WESTPAC BANKING CORPORATION CORP","Financials","Aktien","9.264.132,41","0,11","9.264.132,41","342.810,00","27,02","Australien","Asx - All Markets","AUD"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Aktien","9.183.732,35","0,10","9.183.732,35","40.345,00","227,63","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Aktien","9.182.406,27","0,10","9.182.406,27","75.507,00","121,61","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WM","WASTE MANAGEMENT INC","Industrie","Aktien","9.179.686,60","0,10","9.179.686,60","41.135,00","223,16","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","IT","Aktien","9.084.156,90","0,10","9.084.156,90","20.982,00","432,95","Vereinigte Staaten","NASDAQ","USD"
"USB","US BANCORP","Financials","Aktien","8.989.918,08","0,10","8.989.918,08","156.728,00","57,36","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"INGA","ING GROEP NV","Financials","Aktien","8.977.531,13","0,10","8.977.531,13","300.325,00","29,89","Niederlande","Euronext Amsterdam","EUR"
"NG.","NATIONAL GRID PLC","Versorger","Aktien","8.949.461,34","0,10","8.949.461,34","529.400,00","16,90","Vereinigtes Königreich","London Stock Exchange","GBP"
"CEG","CONSTELLATION ENERGY CORP","Versorger","Aktien","8.947.437,28","0,10","8.947.437,28","33.031,00","270,88","Vereinigte Staaten","NASDAQ","USD"
"EMR","EMERSON ELECTRIC","Industrie","Aktien","8.934.000,67","0,10","8.934.000,67","60.109,00","148,63","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ENEL","ENEL","Versorger","Aktien","8.848.079,17","0,10","8.848.079,17","805.265,00","10,99","Italien","Borsa Italiana","EUR"
"8058","MITSUBISHI CORP","Industrie","Aktien","8.834.411,43","0,10","8.834.411,43","337.000,00","26,21","Japan","Tokyo Stock Exchange","JPY"
"GLW","CORNING INC","IT","Aktien","8.790.615,44","0,10","8.790.615,44","79.654,00","110,36","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ORLY","OREILLY AUTOMOTIVE INC","Zyklische Konsumgüter ","Aktien","8.732.200,95","0,10","8.732.200,95","89.095,00","98,01","Vereinigte Staaten","NASDAQ","USD"
"MMM","3M","Industrie","Aktien","8.715.591,15","0,10","8.715.591,15","56.805,00","153,43","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SHW","SHERWIN WILLIAMS","Materialien","Aktien","8.714.783,80","0,10","8.714.783,80","24.455,00","356,36","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CMI","CUMMINS INC","Industrie","Aktien","8.689.493,13","0,10","8.689.493,13","14.601,00","595,13","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SNPS","SYNOPSYS INC","IT","Aktien","8.688.462,75","0,10","8.688.462,75","18.975,00","457,89","Vereinigte Staaten","NASDAQ","USD"
"FCX","FREEPORT MCMORAN INC","Materialien","Aktien","8.668.629,20","0,10","8.668.629,20","142.670,00","60,76","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CRH","CRH PUBLIC LIMITED PLC","Materialien","Aktien","8.628.799,20","0,10","8.628.799,20","69.252,00","124,60","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WMB","WILLIAMS INC","Energie","Aktien","8.541.872,06","0,10","8.541.872,06","128.759,00","66,34","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RCL","ROYAL CARIBBEAN GROUP LTD","Zyklische Konsumgüter ","Aktien","8.533.975,35","0,10","8.533.975,35","25.547,00","334,05","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MCO","MOODYS CORP","Financials","Aktien","8.514.779,40","0,10","8.514.779,40","16.468,00","517,05","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"BA.","BAE SYSTEMS PLC","Industrie","Aktien","8.400.708,76","0,10","8.400.708,76","320.735,00","26,19","Vereinigtes Königreich","London Stock Exchange","GBP"
"HCA","HCA HEALTHCARE INC","Gesundheitsversorgung","Aktien","8.385.337,45","0,10","8.385.337,45","16.877,00","496,85","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ABX","BARRICK MINING CORP","Materialien","Aktien","8.353.019,45","0,10","8.353.019,45","180.479,00","46,28","Kanada","Toronto Stock Exchange","CAD"
"REGN","REGENERON PHARMACEUTICALS INC","Gesundheitsversorgung","Aktien","8.343.726,02","0,10","8.343.726,02","11.051,00","755,02","Vereinigte Staaten","NASDAQ","USD"
"CS","AXA SA","Financials","Aktien","8.314.036,12","0,09","8.314.036,12","181.109,00","45,91","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"TDG","TRANSDIGM GROUP INC","Industrie","Aktien","8.314.531,84","0,09","8.314.531,84","5.792,00","1.435,52","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrie","Aktien","8.293.186,16","0,09","8.293.186,16","75.208,00","110,27","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CDNS","CADENCE DESIGN SYSTEMS INC","IT","Aktien","8.289.631,35","0,09","8.289.631,35","28.665,00","289,19","Vereinigte Staaten","NASDAQ","USD"
"AMT","AMERICAN TOWER REIT CORP","Immobilien","Aktien","8.260.998,30","0,09","8.260.998,30","47.559,00","173,70","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DASH","DOORDASH INC CLASS A","Zyklische Konsumgüter ","Aktien","8.180.536,64","0,09","8.180.536,64","39.392,00","207,67","Vereinigte Staaten","NASDAQ","USD"
"EQIX","EQUINIX REIT INC","Immobilien","Aktien","8.160.526,60","0,09","8.160.526,60","10.070,00","810,38","Vereinigte Staaten","NASDAQ","USD"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Financials","Aktien","8.126.862,44","0,09","8.126.862,44","13.315,00","610,36","Deutschland","Xetra","EUR"
"GD","GENERAL DYNAMICS CORP","Industrie","Aktien","8.123.761,98","0,09","8.123.761,98","23.454,00","346,37","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GM","GENERAL MOTORS","Zyklische Konsumgüter ","Aktien","8.099.189,70","0,09","8.099.189,70","96.110,00","84,27","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FDX","FEDEX CORP","Industrie","Aktien","8.044.182,30","0,09","8.044.182,30","23.991,00","335,30","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"8031","MITSUI LTD","Industrie","Aktien","8.003.360,85","0,09","8.003.360,85","251.600,00","31,81","Japan","Tokyo Stock Exchange","JPY"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrie","Aktien","7.970.825,72","0,09","7.970.825,72","64.814,00","122,98","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HWM","HOWMET AEROSPACE INC","Industrie","Aktien","7.970.954,28","0,09","7.970.954,28","38.468,00","207,21","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SPOT","SPOTIFY TECHNOLOGY SA","Kommunikation","Aktien","7.952.665,46","0,09","7.952.665,46","15.637,00","508,58","Schweden","New York Stock Exchange Inc.","USD"
"ELV","ELEVANCE HEALTH INC","Gesundheitsversorgung","Aktien","7.943.445,54","0,09","7.943.445,54","23.238,00","341,83","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"RMS","HERMES INTERNATIONAL","Zyklische Konsumgüter ","Aktien","7.926.412,60","0,09","7.926.412,60","3.308,00","2.396,14","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"9983","FAST RETAILING LTD","Zyklische Konsumgüter ","Aktien","7.923.462,34","0,09","7.923.462,34","20.500,00","386,51","Japan","Tokyo Stock Exchange","JPY"
"PRX","PROSUS NV CLASS N","Zyklische Konsumgüter ","Aktien","7.879.493,75","0,09","7.879.493,75","137.931,00","57,13","Niederlande","Euronext Amsterdam","EUR"
"CNQ","CANADIAN NATURAL RESOURCES LTD","Energie","Aktien","7.867.313,45","0,09","7.867.313,45","215.827,00","36,45","Kanada","Toronto Stock Exchange","CAD"
"8001","ITOCHU CORP","Industrie","Aktien","7.843.831,06","0,09","7.843.831,06","616.400,00","12,73","Japan","Tokyo Stock Exchange","JPY"
"ANZ","ANZ GROUP HOLDINGS LTD","Financials","Aktien","7.740.487,78","0,09","7.740.487,78","303.342,00","25,52","Australien","Asx - All Markets","AUD"
"NKE","NIKE INC CLASS B","Zyklische Konsumgüter ","Aktien","7.645.279,72","0,09","7.645.279,72","122.954,00","62,18","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Nichtzyklische Konsumgüter","Aktien","7.632.575,81","0,09","7.632.575,81","130.049,00","58,69","Vereinigte Staaten","NASDAQ","USD"
"PWR","QUANTA SERVICES INC","Industrie","Aktien","7.624.253,66","0,09","7.624.253,66","15.958,00","477,77","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NWG","NATWEST GROUP PLC","Financials","Aktien","7.593.803,36","0,09","7.593.803,36","814.680,00","9,32","Vereinigtes Königreich","London Stock Exchange","GBP"
"SLB","SLB NV","Energie","Aktien","7.585.269,10","0,09","7.585.269,10","157.862,00","48,05","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"AON","AON PLC CLASS A","Financials","Aktien","7.566.958,84","0,09","7.566.958,84","21.644,00","349,61","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"DBK","DEUTSCHE BANK AG","Financials","Aktien","7.556.453,53","0,09","7.556.453,53","191.659,00","39,43","Deutschland","Xetra","EUR"
"6861","KEYENCE CORP","IT","Aktien","7.533.038,70","0,09","7.533.038,70","21.020,00","358,37","Japan","Tokyo Stock Exchange","JPY"
"CL","COLGATE-PALMOLIVE","Nichtzyklische Konsumgüter","Aktien","7.531.488,18","0,09","7.531.488,18","81.962,00","91,89","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ITW","ILLINOIS TOOL INC","Industrie","Aktien","7.515.189,24","0,09","7.515.189,24","28.444,00","264,21","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CI","CIGNA","Gesundheitsversorgung","Aktien","7.503.193,28","0,09","7.503.193,28","27.632,00","271,54","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"INVE B","INVESTOR CLASS B","Financials","Aktien","7.458.995,83","0,09","7.458.995,83","191.687,00","38,91","Schweden","Nasdaq Omx Nordic","SEK"
"HLT","HILTON WORLDWIDE HOLDINGS INC","Zyklische Konsumgüter ","Aktien","7.422.390,86","0,08","7.422.390,86","24.502,00","302,93","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Zyklische Konsumgüter ","Aktien","7.417.106,70","0,08","7.417.106,70","23.230,00","319,29","Vereinigte Staaten","NASDAQ","USD"
"ITX","INDUSTRIA DE DISENO TEXTIL SA","Zyklische Konsumgüter ","Aktien","7.394.894,68","0,08","7.394.894,68","112.993,00","65,45","Spanien","Bolsa De Madrid","EUR"
"VRT","VERTIV HOLDINGS CLASS A","Industrie","Aktien","7.381.128,46","0,08","7.381.128,46","38.846,00","190,01","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ECL","ECOLAB INC","Materialien","Aktien","7.366.106,85","0,08","7.366.106,85","25.969,00","283,65","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ABI","ANHEUSER-BUSCH INBEV SA","Nichtzyklische Konsumgüter","Aktien","7.346.370,72","0,08","7.346.370,72","101.930,00","72,07","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"DG","VINCI SA","Industrie","Aktien","7.261.936,34","0,08","7.261.936,34","50.582,00","143,57","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"CP","CANADIAN PACIFIC KANSAS CITY LTD","Industrie","Aktien","7.231.486,96","0,08","7.231.486,96","96.495,00","74,94","Kanada","Toronto Stock Exchange","CAD"
"7974","NINTENDO LTD","Kommunikation","Aktien","7.229.910,39","0,08","7.229.910,39","113.700,00","63,59","Japan","Tokyo Stock Exchange","JPY"
"6098","RECRUIT HOLDINGS LTD","Industrie","Aktien","7.118.828,33","0,08","7.118.828,33","134.200,00","53,05","Japan","Tokyo Stock Exchange","JPY"
"KKR","KKR AND CO INC","Financials","Aktien","7.084.258,92","0,08","7.084.258,92","61.947,00","114,36","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CTAS","CINTAS CORP","Industrie","Aktien","7.083.524,64","0,08","7.083.524,64","37.104,00","190,91","Vereinigte Staaten","NASDAQ","USD"
"GLEN","GLENCORE PLC","Materialien","Aktien","7.078.065,15","0,08","7.078.065,15","1.036.718,00","6,83","Vereinigtes Königreich","London Stock Exchange","GBP"
"TFC","TRUIST FINANCIAL CORP","Financials","Aktien","7.014.154,02","0,08","7.014.154,02","133.197,00","52,66","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"8766","TOKIO MARINE HOLDINGS INC","Financials","Aktien","6.994.353,62","0,08","6.994.353,62","189.200,00","36,97","Japan","Tokyo Stock Exchange","JPY"
"CSX","CSX CORP","Industrie","Aktien","6.952.045,10","0,08","6.952.045,10","181.090,00","38,39","Vereinigte Staaten","NASDAQ","USD"
"MRVL","MARVELL TECHNOLOGY INC","IT","Aktien","6.937.340,04","0,08","6.937.340,04","88.194,00","78,66","Vereinigte Staaten","NASDAQ","USD"
"PCAR","PACCAR INC","Industrie","Aktien","6.914.733,51","0,08","6.914.733,51","55.491,00","124,61","Vereinigte Staaten","NASDAQ","USD"
"NSC","NORFOLK SOUTHERN CORP","Industrie","Aktien","6.908.239,35","0,08","6.908.239,35","23.703,00","291,45","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"COR","CENCORA INC","Gesundheitsversorgung","Aktien","6.876.373,84","0,08","6.876.373,84","18.914,00","363,56","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MSI","MOTOROLA SOLUTIONS INC","IT","Aktien","6.843.990,72","0,08","6.843.990,72","16.954,00","403,68","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"TRV","TRAVELERS COMPANIES INC","Financials","Aktien","6.839.695,98","0,08","6.839.695,98","23.946,00","285,63","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NDA FI","NORDEA BANK","Financials","Aktien","6.804.998,28","0,08","6.804.998,28","343.913,00","19,79","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"388","HONG KONG EXCHANGES AND CLEARING L","Financials","Aktien","6.788.351,54","0,08","6.788.351,54","124.974,00","54,32","Hongkong","Hong Kong Exchanges And Clearing Ltd","HKD"
"HOOD","ROBINHOOD MARKETS INC CLASS A","Financials","Aktien","6.780.922,29","0,08","6.780.922,29","75.419,00","89,91","Vereinigte Staaten","NASDAQ","USD"
"REL","RELX PLC","Industrie","Aktien","6.776.388,23","0,08","6.776.388,23","192.363,00","35,23","Vereinigtes Königreich","London Stock Exchange","GBP"
"AEP","AMERICAN ELECTRIC POWER INC","Versorger","Aktien","6.731.793,70","0,08","6.731.793,70","56.890,00","118,33","Vereinigte Staaten","NASDAQ","USD"
"TEL","TE CONNECTIVITY PLC","IT","Aktien","6.672.170,88","0,08","6.672.170,88","29.376,00","227,13","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WBD","WARNER BROS. DISCOVERY INC SERIES","Kommunikation","Aktien","6.669.086,72","0,08","6.669.086,72","242.336,00","27,52","Vereinigte Staaten","NASDAQ","USD"
"MFC","MANULIFE FINANCIAL CORP","Financials","Aktien","6.664.780,16","0,08","6.664.780,16","173.950,00","38,31","Kanada","Toronto Stock Exchange","CAD"
"IFX","INFINEON TECHNOLOGIES AG","IT","Aktien","6.561.968,67","0,07","6.561.968,67","132.874,00","49,39","Deutschland","Xetra","EUR"
"AZO","AUTOZONE INC","Zyklische Konsumgüter ","Aktien","6.555.164,01","0,07","6.555.164,01","1.761,00","3.722,41","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WES","WESFARMERS LTD","Zyklische Konsumgüter ","Aktien","6.457.960,64","0,07","6.457.960,64","111.426,00","57,96","Australien","Asx - All Markets","AUD"
"WPM","WHEATON PRECIOUS METALS CORP","Materialien","Aktien","6.449.642,86","0,07","6.449.642,86","48.900,00","131,89","Kanada","Toronto Stock Exchange","CAD"
"SPG","SIMON PROPERTY GROUP REIT INC","Immobilien","Aktien","6.412.371,48","0,07","6.412.371,48","33.534,00","191,22","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SU","SUNCOR ENERGY INC","Energie","Aktien","6.350.137,42","0,07","6.350.137,42","120.792,00","52,57","Kanada","Toronto Stock Exchange","CAD"
"EUR","EUR CASH","Cash und/oder Derivate","Geldmarkt","6.339.155,91","0,07","6.339.155,91","5.375.811,00","117,92","Europäische Union","-","EUR"
"EOG","EOG RESOURCES INC","Energie","Aktien","6.312.280,66","0,07","6.312.280,66","58.226,00","108,41","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ROST","ROSS STORES INC","Zyklische Konsumgüter ","Aktien","6.271.348,68","0,07","6.271.348,68","32.988,00","190,11","Vereinigte Staaten","NASDAQ","USD"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materialien","Aktien","6.259.327,02","0,07","6.259.327,02","23.098,00","270,99","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LHX","L3HARRIS TECHNOLOGIES INC","Industrie","Aktien","6.243.744,24","0,07","6.243.744,24","18.351,00","340,24","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
